"","Date","housing_change_last_month"
"1",2022-01-01,5.39780714084903
"2",2022-02-01,4.88130168044811
"3",2022-03-01,1.34791454730416
"4",2022-04-01,-1.40526976160603
"5",2022-05-01,-1.95978620514126
"6",2022-06-01,-3.53063343717549
"7",2022-07-01,-3.39074273412272
"8",2022-08-01,-2.78551532033426
"9",2022-09-01,-1.89111747851004
"10",2022-10-01,-1.43107476635513
"11",2022-11-01,-1.27407407407407
"12",2022-12-01,-1.23049219687874
