"","V1"
"2022-10-28",3.06672689702474
"2022-11-01",2.59886555926958
"2022-11-02",3.75728297521865
"2022-11-03",3.60327889673511
"2022-11-04",3.82481077439172
"2022-11-09",4.00145310878033
"2022-11-10",4.01821512813507
"2022-11-15",4.00697931806857
"2022-11-16",4.38203568788231
"2022-11-17",4.18117027556348
"2022-11-18",4.14634897302621
"2022-11-23",4.25780709466725
"2022-11-30",4.00260619228545
"2022-12-01",2.83749926919834
"2022-12-02",3.59012590393883
"2022-12-05",3.11485369649021
"2022-12-06",3.36465409311986
"2022-12-09",3.18693348076058
"2022-12-12",3.13808319920821
"2022-12-15",2.78097502399388
"2022-12-20",2.72748823042941
"2022-12-23",3.65704036213716
"2022-12-27",3.59758378805954
"2023-01-03",3.90855790739641
"2023-01-04",3.98492490183171
"2023-01-05",3.75645842589447
"2023-01-06",4.13449209195691
"2023-01-10",4.06989276215939
"2023-01-12",4.0206707574554
"2023-01-13",4.11099962444883
"2023-01-18",3.49399663835124
"2023-01-19",3.52993709377398
"2023-01-20",3.52941880972131
